,total_degree,in_degree,internal_edges,out_degree,external_edges
6113,380,76,23104,304,0
6117,1025,201,165624,824,0
6121,346,76,20520,270,0
6135,932,168,128352,764,0
6151,700,128,73216,572,0
6165,1934,345,548205,1589,0
6168,572,130,57460,442,0
6171,264,56,11648,208,0
6182,1876,359,544603,1517,0
6206,1934,345,548205,1589,0
6226,160,29,3799,131,0
6233,65,17,816,48,0
6237,1541,306,377910,1235,0
6246,1342,282,298920,1060,0
6247,305,70,16450,235,0
6271,58,15,645,43,0
6282,971,184,144808,787,0
6284,1552,299,374647,1253,0
6321,405,82,26486,323,0
6325,534,102,44064,432,0
6334,64,16,768,48,0
6345,22,6,96,16,0
6358,767,144,89712,623,0
6359,366,70,20720,296,0
6371,119,25,2350,94,0
6407,6,1,5,5,0
6408,1934,345,548205,1589,0
6410,1411,281,317530,1130,0
6411,1025,201,165624,824,0
6412,26,8,144,18,0
6427,1541,306,377910,1235,0
6446,1025,201,165624,824,0
6455,1331,255,274380,1076,0
6471,236,50,9300,186,0
6478,43,7,252,36,0
6481,1583,310,394630,1273,0
6501,54,14,560,40,0
6503,819,152,101384,667,0
6520,337,74,19462,263,0
6525,1583,310,394630,1273,0
6535,819,152,101384,667,0
6543,552,113,49607,439,0
6546,1552,299,374647,1253,0
6552,660,133,69928,527,0
6554,767,144,89712,623,0
6568,122,25,2425,97,0
6572,36,10,260,26,0
6574,1181,246,230010,935,0
6578,1558,313,389685,1245,0
6587,495,87,35496,408,0
6600,1331,255,274380,1076,0
6609,401,77,24948,324,0
6612,1411,281,317530,1130,0
6644,40,9,279,31,0
6655,1342,282,298920,1060,0
6663,273,58,12470,215,0
6689,950,193,146101,757,0
6699,1829,353,521028,1476,0
6712,144,29,3335,115,0
6720,28,7,147,21,0
6757,89,15,1110,74,0
6760,207,41,6806,166,0
6761,1829,353,521028,1476,0
6792,976,180,143280,796,0
6800,1078,198,174240,880,0
6810,171,35,4760,136,0
6821,595,120,57000,475,0
6822,1280,232,243136,1048,0
6851,198,43,6665,155,0
6888,134,30,3120,104,0
6917,11,4,28,7,0
6941,836,151,103435,685,0
6944,552,113,49607,439,0
6970,950,193,146101,757,0
6982,700,128,73216,572,0
6983,1078,198,174240,880,0
6990,185,36,5364,149,0
6999,373,74,22126,299,0
7012,31,9,198,22,0
7013,1583,310,394630,1273,0
7028,1181,246,230010,935,0
7035,401,77,24948,324,0
7055,950,193,146101,757,0
7072,778,163,100245,615,0
7078,1296,252,263088,1044,0
7097,324,67,17219,257,0
7099,282,50,11600,232,0
7109,539,101,44238,438,0
7121,315,56,14504,259,0
7132,495,87,35496,408,0
7135,227,44,8052,183,0
7141,950,193,146101,757,0
7161,69,14,770,55,0
7167,26,4,88,22,0
7191,2102,402,683400,1700,0
7198,1331,255,274380,1076,0
7221,366,70,20720,296,0
7223,1331,255,274380,1076,0
7224,443,85,30430,358,0
7260,821,143,96954,678,0
7281,405,82,26486,323,0
7285,1934,345,548205,1589,0
7302,200,40,6400,160,0
7309,1829,353,521028,1476,0
7330,1583,310,394630,1273,0
7334,1280,232,243136,1048,0
7366,1558,313,389685,1245,0
7383,443,85,30430,358,0
7387,346,76,20520,270,0
7389,1262,259,259777,1003,0
7391,551,102,45798,449,0
7392,273,58,12470,215,0
7395,1558,313,389685,1245,0
7396,1829,353,521028,1476,0
7399,1657,315,422730,1342,0
7405,572,130,57460,442,0
7417,317,63,16002,254,0
7433,186,35,5285,151,0
7434,1552,299,374647,1253,0
7444,1829,353,521028,1476,0
7457,1829,353,521028,1476,0
7458,47,11,396,36,0
7467,1657,315,422730,1342,0
7478,1280,232,243136,1048,0
7502,976,180,143280,796,0
7504,321,54,14418,267,0
7505,1078,198,174240,880,0
7518,1541,306,377910,1235,0
7521,28,7,147,21,0
7529,410,76,25384,334,0
7551,1829,353,521028,1476,0
7577,65,17,816,48,0
7582,1558,313,389685,1245,0
7596,1181,246,230010,935,0
7611,135,30,3150,105,0
7619,548,102,45492,446,0
7631,185,36,5364,149,0
7648,1657,315,422730,1342,0
7675,1876,359,544603,1517,0
7692,534,102,44064,432,0
7695,548,102,45492,446,0
7709,1296,252,263088,1044,0
7735,1181,246,230010,935,0
7747,534,102,44064,432,0
7751,1876,359,544603,1517,0
7762,337,74,19462,263,0
7764,1541,306,377910,1235,0
7771,572,130,57460,442,0
7777,2102,402,683400,1700,0
7780,1552,299,374647,1253,0
7818,1342,282,298920,1060,0
7823,85,18,1206,67,0
7829,1541,306,377910,1235,0
7837,1583,310,394630,1273,0
7848,620,121,60379,499,0
7854,305,70,16450,235,0
7859,119,25,2350,94,0
7871,1262,259,259777,1003,0
7892,1876,359,544603,1517,0
7930,65,17,816,48,0
7987,2102,402,683400,1700,0
7990,1025,201,165624,824,0
8018,1934,345,548205,1589,0
8037,155,27,3456,128,0
8044,134,30,3120,104,0
8070,1204,251,239203,953,0
8091,282,50,11600,232,0
8118,1078,198,174240,880,0
8123,1331,255,274380,1076,0
8124,1558,313,389685,1245,0
8140,535,94,41454,441,0
8168,819,152,101384,667,0
8186,836,151,103435,685,0
8188,174,36,4968,138,0
8192,49,9,360,40,0
8214,373,74,22126,299,0
8236,1411,281,317530,1130,0
8237,323,55,14740,268,0
8239,1342,282,298920,1060,0
8240,61,8,424,53,0
8256,124,28,2688,96,0
8262,1280,232,243136,1048,0
8270,415,75,25500,340,0
8285,950,193,146101,757,0
8288,1829,353,521028,1476,0
8294,865,167,116566,698,0
8305,385,71,22294,314,0
8306,200,40,6400,160,0
8310,1876,359,544603,1517,0
8324,595,120,57000,475,0
8344,415,75,25500,340,0
8345,317,63,16002,254,0
8371,20,4,64,16,0
8388,2102,402,683400,1700,0
8390,821,143,96954,678,0
8411,1541,306,377910,1235,0
8416,137,25,2800,112,0
8424,2102,402,683400,1700,0
8433,1934,345,548205,1589,0
8449,379,65,20410,314,0
8454,1342,282,298920,1060,0
8465,236,50,9300,186,0
8467,1331,255,274380,1076,0
8469,264,56,11648,208,0
8493,1262,259,259777,1003,0
8497,572,130,57460,442,0
8503,714,137,79049,577,0
8519,1657,315,422730,1342,0
8523,1934,345,548205,1589,0
8531,360,66,19404,294,0
8572,385,71,22294,314,0
8574,1078,198,174240,880,0
8620,821,171,111150,650,0
8623,836,151,103435,685,0
8625,1657,315,422730,1342,0
8626,317,63,16002,254,0
8647,1411,281,317530,1130,0
8658,1025,201,165624,824,0
8663,401,77,24948,324,0
8664,25,3,66,22,0
8669,198,43,6665,155,0
8678,194,39,6045,155,0
8710,641,131,66810,510,0
8712,1181,246,230010,935,0
8721,700,128,73216,572,0
8722,1934,345,548205,1589,0
8734,950,193,146101,757,0
8753,568,114,51756,454,0
8754,1657,315,422730,1342,0
8755,1552,299,374647,1253,0
8758,821,171,111150,650,0
8772,1552,299,374647,1253,0
8773,1541,306,377910,1235,0
8774,31,7,168,24,0
8776,274,57,12369,217,0
8782,1934,345,548205,1589,0
8786,778,163,100245,615,0
8789,714,137,79049,577,0
8795,516,103,42539,413,0
8802,395,72,23256,323,0
8810,1558,313,389685,1245,0
8814,1331,255,274380,1076,0
8829,595,120,57000,475,0
8830,71,15,840,56,0
8834,1296,252,263088,1044,0
8847,463,83,31540,380,0
8855,778,163,100245,615,0
8885,551,102,45798,449,0
8889,778,163,100245,615,0
8918,47,11,396,36,0
8926,200,40,6400,160,0
8947,572,130,57460,442,0
8950,539,101,44238,438,0
8958,793,158,100330,635,0
8993,1657,315,422730,1342,0
9015,793,158,100330,635,0
9032,1552,299,374647,1253,0
9042,274,57,12369,217,0
9055,1541,306,377910,1235,0
9063,2102,402,683400,1700,0
9086,373,74,22126,299,0
9095,1262,259,259777,1003,0
9125,134,30,3120,104,0
9140,122,25,2425,97,0
9148,1583,310,394630,1273,0
9150,1541,306,377910,1235,0
9153,1657,315,422730,1342,0
9173,1657,315,422730,1342,0
9176,70,15,825,55,0
9184,380,76,23104,304,0
9198,1280,232,243136,1048,0
9223,160,29,3799,131,0
9227,11,3,24,8,0
9228,641,131,66810,510,0
9248,1204,251,239203,953,0
9259,68,14,756,54,0
9271,1204,251,239203,953,0
9279,200,40,6400,160,0
9281,1025,201,165624,824,0
9298,1296,252,263088,1044,0
9299,1262,259,259777,1003,0
9304,1876,359,544603,1517,0
9305,1262,259,259777,1003,0
9322,595,121,57354,474,0
9335,1541,306,377910,1235,0
9337,1204,251,239203,953,0
9348,1541,306,377910,1235,0
9349,495,87,35496,408,0
9361,1342,282,298920,1060,0
9380,1078,198,174240,880,0
9382,323,55,14740,268,0
9401,105,22,1826,83,0
9425,2102,402,683400,1700,0
9450,315,56,14504,259,0
9453,976,180,143280,796,0
9473,551,102,45798,449,0
9504,415,75,25500,340,0
9512,89,15,1110,74,0
9517,1552,299,374647,1253,0
9526,1583,310,394630,1273,0
9537,660,133,69928,527,0
9569,1181,246,230010,935,0
9574,131,21,2310,110,0
9575,1552,299,374647,1253,0
9580,35,9,234,26,0
9590,571,114,52098,457,0
9602,552,113,49607,439,0
9603,1331,255,274380,1076,0
9604,821,143,96954,678,0
9609,793,158,100330,635,0
9610,1583,310,394630,1273,0
9612,1025,201,165624,824,0
9617,821,143,96954,678,0
9626,1876,359,544603,1517,0
9633,950,193,146101,757,0
9643,405,82,26486,323,0
9651,552,113,49607,439,0
9657,1025,201,165624,824,0
9666,264,56,11648,208,0
9669,1558,313,389685,1245,0
9674,127,29,2842,98,0
9683,1829,353,521028,1476,0
9696,379,65,20410,314,0
9697,1657,315,422730,1342,0
9701,1934,345,548205,1589,0
9706,497,97,38800,400,0
9745,395,72,23256,323,0
9777,714,137,79049,577,0
9788,1829,353,521028,1476,0
9797,122,22,2200,100,0
9800,282,50,11600,232,0
9814,19,3,48,16,0
9817,1657,315,422730,1342,0
9824,641,131,66810,510,0
9842,767,144,89712,623,0
9867,572,130,57460,442,0
9879,821,171,111150,650,0
9882,160,32,4096,128,0
9891,1411,281,317530,1130,0
9894,194,39,6045,155,0
9907,1552,299,374647,1253,0
9908,1934,345,548205,1589,0
9925,821,143,96954,678,0
9945,1331,255,274380,1076,0
9960,385,71,22294,314,0
9965,660,133,69928,527,0
9986,548,102,45492,446,0
9997,68,15,795,53,0
10027,660,133,69928,527,0
10048,323,55,14740,268,0
10056,321,54,14418,267,0
10065,26,6,120,20,0
10066,595,120,57000,475,0
10079,274,57,12369,217,0
10093,380,76,23104,304,0
10096,198,43,6665,155,0
10126,1331,255,274380,1076,0
10133,572,130,57460,442,0
10135,1280,232,243136,1048,0
10143,1181,246,230010,935,0
10151,971,184,144808,787,0
10168,380,76,23104,304,0
10170,148,24,2976,124,0
10199,1262,259,259777,1003,0
10218,595,121,57354,474,0
10221,571,114,52098,457,0
10223,497,97,38800,400,0
10225,1583,310,394630,1273,0
10231,366,70,20720,296,0
10241,1331,255,274380,1076,0
10252,865,167,116566,698,0
10255,568,114,51756,454,0
10256,2102,402,683400,1700,0
10270,1583,310,394630,1273,0
10276,793,158,100330,635,0
10291,660,133,69928,527,0
10300,1331,255,274380,1076,0
10302,1541,306,377910,1235,0
10349,1829,353,521028,1476,0
10365,379,65,20410,314,0
10368,337,74,19462,263,0
10378,1829,353,521028,1476,0
10381,865,167,116566,698,0
10389,1280,232,243136,1048,0
10399,410,76,25384,334,0
10453,70,12,696,58,0
10454,1342,282,298920,1060,0
10459,410,76,25384,334,0
10464,127,29,2842,98,0
10489,193,39,6006,154,0
10525,950,193,146101,757,0
10537,32,5,135,27,0
10554,1280,232,243136,1048,0
10563,1181,246,230010,935,0
10566,595,120,57000,475,0
10576,110,18,1656,92,0
10579,1558,313,389685,1245,0
10581,778,163,100245,615,0
10592,385,71,22294,314,0
10604,1331,255,274380,1076,0
10607,236,50,9300,186,0
10613,1558,313,389685,1245,0
10637,571,114,52098,457,0
10641,1025,201,165624,824,0
10651,127,29,2842,98,0
10660,121,27,2538,94,0
10663,60,12,576,48,0
10664,2102,402,683400,1700,0
10669,1411,281,317530,1130,0
10674,1280,232,243136,1048,0
10684,1934,345,548205,1589,0
10686,1876,359,544603,1517,0
10687,1411,281,317530,1130,0
10700,1552,299,374647,1253,0
10736,110,27,2241,83,0
10743,1583,310,394630,1273,0
10748,495,87,35496,408,0
10758,821,143,96954,678,0
10787,385,71,22294,314,0
10788,516,103,42539,413,0
